Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
102163,CPE12000SG,TLR001024016,6/20/22 1:00,102163,WLTGG-122,1.001E+12,192.168.203.20,,1,,,,,,,,,,,,,,,,,,,78
102164,CPE12000SG,TLR001025025,6/20/22 1:00,102164,WLTGG-122,1.001E+12,192.168.203.14,1514409,1,11.7,-94.9,-93.4,-96.8,-97,25.5,24.2,19.8,21.8,-9.2,-9,-9.4,-8.8,-63,,,,,371
102165,CPE12000SG,TLR001052983,6/20/22 1:00,102165,WLTGG-122,1.001E+12,192.168.203.27,194273,1,-4.1,-87.1,-90.8,-89.9,-87.6,17.7,16.6,16.8,16.4,-9.6,-9.1,-8.8,-9.4,-53,,,,,195
102150,CPE12000SG,TLR001048674,6/20/22 1:00,102150,WLTGG-122,1.001E+12,192.168.203.11,4087963,1,9.5,-106.1,-102.1,-104.8,-109.3,14.3,15.9,13.4,10.5,-9.3,-9.5,-9.5,-9.7,-73,,,,,195
102151,CPE9000,GMK180819003927,6/20/22 1:00,102151,WLTMS-110,1.001E+12,192.168.203.31,4059279,2,16,-117,-114,,,5,10,,,-10,,,,,,,,,781
102152,CPE12000SG,TLR001021226,6/20/22 1:00,102152,WLTGG-122,1.001E+12,192.168.203.13,,2,,,,,,,,,,,,,,,,,,,605
102153,CPE12000SG,TLR001052293,6/20/22 1:00,102153,WLTGG-122,1.001E+12,192.168.203.40,371158,2,-1.1,-82.9,-81.5,-82.2,-85.2,20.9,22.8,22.7,21.3,-9.2,-9.3,-9.2,-9.2,-52,,,,,488
102154,CPE12000SG,TLR001052427,6/20/22 1:00,102154,WLTGG-122,1.001E+12,192.168.203.42,1662968,2,-999999,-102.8,-103.3,-108.6,-112.1,23.1,21.8,14.5,13.7,-9.2,-9.2,-9.7,-9.4,-74,,,,,605
102166,CPE12000SG,TLR001024549,6/20/22 1:00,102166,WLTGG-122,1.001E+12,192.168.203.19,4087963,1,-999999,-88,-92.5,-91.6,-94.3,19.5,19.3,18.7,15.6,-11.1,-12.2,-12.6,-11.6,-58,,,,,195
102167,CPE12000SG,TLR001052312,6/20/22 1:00,102167,WLTGG-122,1.001E+12,192.168.203.24,727284,2,11.4,-113,-113.5,-110.4,-118.7,15.1,14.4,16,9,-9.6,-9.5,-9.4,-10,-81,,,,,605
102168,CPE12000SG,TLR001052247,6/20/22 1:00,102168,WLTGG-122,1.001E+12,192.168.203.28,4087963,2,4.9,-91.3,-89.6,-91.8,-95,20,20.5,18.6,17.4,-9.2,-9.4,-9.6,-9.5,-61,,,,,195
102169,CPE12000SG,TLR001052912,6/20/22 1:00,102169,WLTGG-122,1.001E+12,192.168.203.29,4059289,3,-999999,-107.1,-99.3,-100,-106.7,17.1,21.7,18.2,16.1,-8.9,-8.7,-8.7,-8.9,-71,,,,,488
102180,CPE12000SG,TLR001052985,6/20/22 1:00,102180,WLTGG-122,1.001E+12,192.168.203.38,1299106,1,-999999,-103,-102.1,-98.9,-102.5,20.5,20.2,23,21.3,-9.2,-9.1,-9.2,-9.5,-67,,,,,371
102155,CPE12000SG,TLR001024748,6/20/22 1:00,102155,WLTGG-122,1.001E+12,192.168.203.12,648825,2,19,-117.2,-109.7,-108,-111.3,7.3,15.7,16.6,13.8,-11.4,-9.7,-9.5,-9.8,-79,,,,,605
102156,CPE12000SG,TLR001052820,6/20/22 1:00,102156,WLTGG-122,1.001E+12,192.168.203.46,4059289,2,8.4,-100.3,-96.2,-92,-93.4,8.3,13.1,18.2,15.5,-11.2,-10.4,-9.9,-10.1,-62,,,,,371
102157,CPE12000SG,TLR001062295,6/20/22 1:00,102157,WLTGG-122,1.001E+12,192.168.203.26,4059289,3,7.6,-100.1,-95.8,-93.6,-99.7,17.9,18,21.9,18.7,-8.8,-8.8,-8.9,-9.1,-65,,,,,605
102158,CPE12000SG,TLR001023930,6/20/22 1:00,102158,WLTGG-122,1.001E+12,192.168.203.18,4082441,2,-999999,-99,-100.5,-99.5,-100.8,15.9,13.1,13.7,15.9,-10,-10.1,-10,-9.7,-69,,,,,488
102159,CPE12000SG,TLR001052332,6/20/22 1:00,102159,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
102160,CPE12000SG,TLR001023697,6/20/22 1:00,102160,WLTGG-122,1.001E+12,192.168.203.10,4059289,2,8.8,-98.6,-96.7,-100.9,-103.9,21.2,23,17.8,17.3,-9.4,-9.3,-9.4,-9.4,-68,,,,,605
102161,CPE12300,21140003126,6/20/22 1:00,102161,CPE12300HG,1.001E+12,192.168.203.44,4081846,1,7.4,-102.2,-102.1,-100.7,-103.2,23.6,22.1,23.7,21.8,-8.9,-8.9,-9,-9.1,-72,-73.4,-73.2,-71.9,-74.3,371
102162,CPE12000SG,TLR001052420,6/20/22 1:00,102162,WLTGG-122,1.001E+12,192.168.203.23,134178,1,8.8,-105.8,-106.7,-103.2,-103.6,20.4,19.9,23.4,23,-9,-8.8,-8.6,-8.9,-72,,,,,605
102187,CPE12000SG,TLR001023730,6/20/22 1:00,102187,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
102186,CPE12300,21140000512,6/20/22 1:00,102186,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
102185,CPE12000SG,TLR001052745,6/20/22 1:00,102185,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
102184,CPE12000SG,TLR001023657,6/20/22 1:00,102184,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
102183,CPE12000SG,TLR001024874,6/20/22 1:00,102183,WLTGG-122,1.001E+12,192.168.203.45,,,,,,,,,,,,,,,,,,,,,
102182,CPE12000SG,TLR001052382,6/20/22 1:00,102182,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
102181,CPE12000SG,TLR001021183,6/20/22 1:00,102181,WLTGG-122,1.001E+12,192.168.203.16,4059290,2,18.7,-108.3,-110.6,-101.5,-101.8,14.9,13.6,21.2,22,-9.9,-9.9,-9.5,-9.4,-72,,,,,605
102205,CPE12000SG,TLR001052312,6/20/22 2:00,102205,WLTGG-122,1.001E+12,192.168.203.24,730882,2,-999999,-116,-113.6,-112.2,-117.1,12.1,14.5,14.4,10.6,-10,-9.4,-9.7,-9.8,-83,,,,,605
102217,CPE12000SG,TLR001024707,6/20/22 2:00,102217,WLTGG-122,1.001E+12,192.168.203.17,4086045,1,8.4,-105.9,-103.4,-105.6,-109.1,19.8,21.5,19.1,17.5,-10.4,-10.5,-10.8,-11.8,-73,,,,,195
102218,CPE12000SG,TLR001052985,6/20/22 2:00,102218,WLTGG-122,1.001E+12,192.168.203.38,1302706,1,-999999,-103,-102,-98.9,-102.4,20.2,19.8,22.2,21.1,-9.3,-9.3,-9.4,-9.7,-67,,,,,371
102219,CPE12000SG,TLR001021183,6/20/22 2:00,102219,WLTGG-122,1.001E+12,192.168.203.16,4062889,2,11.7,-108.1,-111,-102,-102.4,15,14.1,21.4,22.2,-9.9,-10,-9.4,-9.4,-73,,,,,605
102220,CPE12000SG,TLR001052382,6/20/22 2:00,102220,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
102221,CPE12000SG,TLR001024874,6/20/22 2:00,102221,WLTGG-122,1.001E+12,192.168.203.45,,,,,,,,,,,,,,,,,,,,,
102222,CPE12000SG,TLR001023657,6/20/22 2:00,102222,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
102223,CPE12000SG,TLR001052745,6/20/22 2:00,102223,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
102224,CPE12300,21140000512,6/20/22 2:00,102224,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
102225,CPE12000SG,TLR001023730,6/20/22 2:00,102225,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
102207,CPE12000SG,TLR001052912,6/20/22 2:00,102207,WLTGG-122,1.001E+12,192.168.203.29,4062889,3,-999999,-106.7,-98.9,-99.6,-107.3,16.2,20,16.7,15,-8.9,-8.7,-8.8,-9,-71,,,,,488
102206,CPE12000SG,TLR001052247,6/20/22 2:00,102206,WLTGG-122,1.001E+12,192.168.203.28,4091563,2,6.5,-91.5,-89.7,-92.1,-95.2,19.9,20.4,18.4,17.4,-9.4,-9.4,-9.6,-9.6,-61,,,,,195
102196,CPE12000SG,TLR001023930,6/20/22 2:00,102196,WLTGG-122,1.001E+12,192.168.203.18,4086040,2,-999999,-98.7,-100.2,-99.5,-101.2,18.6,15.8,16.5,18.2,-9.9,-10,-9.9,-9.6,-69,,,,,488
102214,CPE12000SG,TLR001052770,6/20/22 2:00,102214,WLTGG-122,1.001E+12,192.168.203.43,3852047,2,6.4,-107.3,-100.1,-98.2,-100.9,11.6,15.5,16.8,17.8,-9.7,-9.4,-9.5,-9.7,-69,,,,,605
102215,CPE12000SG,TLR001052281,6/20/22 2:00,102215,WLTGG-122,1.001E+12,192.168.203.25,1938503,1,-7.1,-83,-80.6,-83.3,-85.1,25.7,23.5,21.9,24.3,-8.7,-9.1,-9.1,-8.6,-52,,,,,371
102216,CPE12000SG,TLR001061848,6/20/22 2:00,102216,WLTGG-122,1.001E+12,192.168.203.37,3480701,2,-4.1,-84.1,-81.2,-77.7,-79,17.2,19.4,22.1,19.3,-9.4,-9.5,-9.3,-9.4,-49,,,,,605
102197,CPE12000SG,TLR001052332,6/20/22 2:00,102197,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
102198,CPE12000SG,TLR001023697,6/20/22 2:00,102198,WLTGG-122,1.001E+12,192.168.203.10,4062889,2,8.9,-98.8,-96.8,-101,-104.2,20.9,23,17.8,17.1,-9.3,-9.3,-9.3,-9.4,-68,,,,,605
102209,CPE12000SG,TLR001052354,6/20/22 2:00,102209,WLTGG-122,1.001E+12,192.168.203.22,4062888,3,-999999,-99.8,-101.1,-99.1,-96.5,9.3,7.6,7.5,14.9,-9.4,-9.3,-9.3,-9.2,-67,,,,,488
102210,CPE12000SG,TLR001052550,6/20/22 2:00,102210,WLTGG-122,1.001E+12,192.168.203.35,4062892,2,23,-108,-111.1,-112.3,-109.7,15.5,11,8.9,12.2,-9.3,-10.2,-10.4,-10.1,-79,,,,,488
102211,CPE12300,21140007371,6/20/22 2:00,102211,CPE12300XG,1.001E+12,192.168.203.33,4086044,1,7.5,-110.1,-109.1,0,0,15.2,11.4,0,0,-9.6,-9.6,0,0,-78,-80.6,-79.7,0,0,488
102212,CPE12000SG,TLR001062014,6/20/22 2:00,102212,WLTGG-122,1.001E+12,192.168.203.39,1443622,2,-999999,-100.7,-101.7,-91,-92.7,13.6,11.6,20.1,20.9,-9.7,-10.5,-9.6,-9.3,-62,,,,,605
102213,CPE12000SG,TLR001052687,6/20/22 2:00,102213,WLTGG-122,1.001E+12,192.168.203.34,4086041,1,1.9,-93.4,-95.9,-94,-94.7,21.9,19.8,20.3,22.6,-13.6,-13.6,-13,-13.3,-64,,,,,488
102195,CPE12000SG,TLR001062295,6/20/22 2:00,102195,WLTGG-122,1.001E+12,192.168.203.26,4062889,3,7.6,-100,-95.6,-93.5,-101.4,16.7,14.7,18.8,16.1,-8.7,-8.8,-8.8,-9.3,-65,,,,,605
102194,CPE12000SG,TLR001052820,6/20/22 2:00,102194,WLTGG-122,1.001E+12,192.168.203.46,4062889,2,9.4,-99.7,-96.9,-92.1,-93.6,9,12.7,18.2,15.6,-11,-10.3,-9.6,-9.9,-62,,,,,371
102193,CPE12000SG,TLR001024748,6/20/22 2:00,102193,WLTGG-122,1.001E+12,192.168.203.12,652425,2,-999999,-117.7,-110.2,-108.2,-111.3,7,15.3,16.4,14.2,-11.2,-9.6,-9.4,-9.7,-79,,,,,605
102192,CPE12000SG,TLR001052427,6/20/22 2:00,102192,WLTGG-122,1.001E+12,192.168.203.42,1666568,2,-999999,-102.3,-102.9,-108.8,-111.9,23.1,21.8,14.2,13.7,-9.1,-9.2,-9.8,-9.4,-73,,,,,605
102191,CPE12000SG,TLR001052293,6/20/22 2:00,102191,WLTGG-122,1.001E+12,192.168.203.40,374757,2,-3.1,-83.1,-81.2,-82.4,-85.6,20.9,22.8,22.9,21.3,-9.2,-9.2,-9.2,-9.2,-52,,,,,488
102190,CPE12000SG,TLR001021226,6/20/22 2:00,102190,WLTGG-122,1.001E+12,192.168.203.13,,2,,,,,,,,,,,,,,,,,,,605
102189,CPE9000,GMK180819003927,6/20/22 2:00,102189,WLTMS-110,1.001E+12,192.168.203.31,4062879,2,18,-117,-115,,,6,9,,,-10,,,,,,,,,781
102188,CPE12000SG,TLR001048674,6/20/22 2:00,102188,WLTGG-122,1.001E+12,192.168.203.11,4091563,1,-999999,-105,-102.8,-105.9,-111.6,15.1,15.3,12.4,8.9,-11.5,-13.2,-13.4,-13.2,-74,,,,,195
102199,CPE12300,21140003126,6/20/22 2:00,102199,CPE12300HG,1.001E+12,192.168.203.44,4085446,1,6.4,-101.7,-101.6,-100.5,-102.7,23.4,22.7,23.6,22,-9,-9,-9,-9.1,-70,-72,-71,-70.2,-72.1,371
102208,CPE12000SG,TLR001061822,6/20/22 2:00,102208,WLTGG-122,1.001E+12,192.168.203.36,3480707,2,-999999,-81.4,-80,-81.3,-84.2,19.8,22,21.4,19.4,-9.5,-9.4,-9.3,-9.3,-51,,,,,605
102200,CPE12000SG,TLR001052420,6/20/22 2:00,102200,WLTGG-122,1.001E+12,192.168.203.23,137778,1,9.5,-105.4,-106.7,-102.6,-103.6,20.1,19.5,23.2,22.5,-9.2,-8.9,-9,-9,-71,,,,,605
102201,CPE12000SG,TLR001024016,6/20/22 2:00,102201,WLTGG-122,1.001E+12,192.168.203.20,,1,,,,,,,,,,,,,,,,,,,78
102202,CPE12000SG,TLR001025025,6/20/22 2:00,102202,WLTGG-122,1.001E+12,192.168.203.14,1518009,1,0.9,-93.8,-93.3,-97.3,-97,25.1,23,19.3,21.9,-9.2,-9.1,-9.2,-8.8,-63,,,,,371
102203,CPE12000SG,TLR001052983,6/20/22 2:00,102203,WLTGG-122,1.001E+12,192.168.203.27,197873,1,-4.1,-87.3,-91,-89.8,-87.6,17.4,16,16.3,16.1,-13.2,-13,-12,-13.4,-55,,,,,195
102204,CPE12000SG,TLR001024549,6/20/22 2:00,102204,WLTGG-122,1.001E+12,192.168.203.19,4091563,1,-3.1,-88.4,-92.7,-92,-94.8,19.2,19.2,18.6,15.2,-9.2,-9.2,-9.3,-9.3,-56,,,,,195
102232,CPE12000SG,TLR001052820,6/20/22 3:00,102232,WLTGG-122,1.001E+12,192.168.203.46,4066488,2,8.4,-100.3,-96,-91.3,-93.4,8.5,13.6,18.6,15.8,-11.2,-10.3,-9.8,-9.8,-61,,,,,371
102249,CPE12300,21140007371,6/20/22 3:00,102249,CPE12300XG,1.001E+12,192.168.203.33,4089644,1,8.7,-109.6,-109.4,0,0,15.6,10.9,0,0,-12.7,-11.1,0,0,-76,-76.7,-75.1,0,0,488
102250,CPE12000SG,TLR001062014,6/20/22 3:00,102250,WLTGG-122,1.001E+12,192.168.203.39,1447222,2,8.4,-100.7,-101.6,-91,-92.6,13.9,12.3,20.5,21.2,-9.8,-10.2,-9.6,-9.3,-61,,,,,605
102242,CPE12000SG,TLR001024549,6/20/22 3:00,102242,WLTGG-122,1.001E+12,192.168.203.19,4095163,1,-999999,-88.1,-92.6,-91.8,-93.9,19.9,19.8,19.2,16,-9.1,-9.2,-9.3,-9.1,-58,,,,,195
102241,CPE12000SG,TLR001052983,6/20/22 3:00,102241,WLTGG-122,1.001E+12,192.168.203.27,201473,1,-5.1,-87.5,-91.4,-89.9,-87.7,17.3,15.9,16.7,16.2,-9.6,-9.1,-8.9,-9.5,-56,,,,,195
102240,CPE12000SG,TLR001025025,6/20/22 3:00,102240,WLTGG-122,1.001E+12,192.168.203.14,1521609,1,2.9,-94.7,-93.7,-97.5,-96.2,25.5,24.1,19.5,22.5,-9.2,-9,-9.3,-8.7,-61,,,,,371
102251,CPE12000SG,TLR001052687,6/20/22 3:00,102251,WLTGG-122,1.001E+12,192.168.203.34,4089641,1,3.7,-93.4,-96.1,-94.1,-94.8,22.6,19.8,20.8,23.3,-9.4,-8.7,-8.7,-9.6,-63,,,,,488
102252,CPE12000SG,TLR001052770,6/20/22 3:00,102252,WLTGG-122,1.001E+12,192.168.203.43,3855647,2,-999999,-107.6,-99.8,-98.6,-101.2,11.2,15.8,16.5,17.4,-9.9,-9.2,-9.7,-9.6,-69,,,,,605
102253,CPE12000SG,TLR001052281,6/20/22 3:00,102253,WLTGG-122,1.001E+12,192.168.203.25,1942103,1,-7.1,-83,-80.8,-83.1,-85,25.2,23.1,21.6,23.9,-8.6,-9.2,-9.1,-8.6,-47,,,,,371
102254,CPE12000SG,TLR001061848,6/20/22 3:00,102254,WLTGG-122,1.001E+12,192.168.203.37,3484301,2,-999999,-84.1,-81.1,-77.7,-79,17.3,19.7,22.4,19.5,-9.5,-9.6,-9.3,-9.4,-48,,,,,605
102255,CPE12000SG,TLR001024707,6/20/22 3:00,102255,WLTGG-122,1.001E+12,192.168.203.17,4089646,1,6.9,-105.9,-103.6,-105.8,-108.7,19.8,21.3,19,18.1,-9.4,-9.5,-9.6,-9.7,-72,,,,,195
102233,CPE12000SG,TLR001062295,6/20/22 3:00,102233,WLTGG-122,1.001E+12,192.168.203.26,4066489,3,5.4,-100.6,-97.2,-95.1,-101.9,17,14.5,19.1,16,-8.5,-8.7,-9,-9.3,-66,,,,,605
102234,CPE12000SG,TLR001023930,6/20/22 3:00,102234,WLTGG-122,1.001E+12,192.168.203.18,4089640,2,6.4,-98.6,-100.2,-99,-101.1,18.9,16.1,16.8,18.7,-9.8,-10.1,-9.9,-9.6,-69,,,,,488
102235,CPE12000SG,TLR001052332,6/20/22 3:00,102235,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
102236,CPE12000SG,TLR001023697,6/20/22 3:00,102236,WLTGG-122,1.001E+12,192.168.203.10,4066488,2,8.4,-98.9,-96.8,-100.8,-104.2,21.2,23,17.8,17.1,-9.4,-9.3,-9.4,-9.4,-68,,,,,605
102237,CPE12300,21140003126,6/20/22 3:00,102237,CPE12300HG,1.001E+12,192.168.203.44,4089046,1,6.4,-101.9,-101.7,-100.3,-102.9,23.3,22.2,23,22,-11.5,-12.7,-12.8,-11.7,-69,-70.5,-69.3,-67.8,-71.3,371
102238,CPE12000SG,TLR001052420,6/20/22 3:00,102238,WLTGG-122,1.001E+12,192.168.203.23,141378,1,8.4,-105.6,-106.9,-102.8,-103.8,20,19.4,23.1,22.7,-11.4,-11.1,-10.8,-11.1,-71,,,,,605
102239,CPE12000SG,TLR001024016,6/20/22 3:00,102239,WLTGG-122,1.001E+12,192.168.203.20,,1,,,,,,,,,,,,,,,,,,,78
102263,CPE12000SG,TLR001023730,6/20/22 3:00,102263,WLTGG-122,1.001E+12,192.168.203.21,,,,,,,,,,,,,,,,,,,,,
102262,CPE12300,21140000512,6/20/22 3:00,102262,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
102261,CPE12000SG,TLR001052745,6/20/22 3:00,102261,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
102260,CPE12000SG,TLR001023657,6/20/22 3:00,102260,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
102259,CPE12000SG,TLR001024874,6/20/22 3:00,102259,WLTGG-122,1.001E+12,192.168.203.45,,,,,,,,,,,,,,,,,,,,,
102258,CPE12000SG,TLR001052382,6/20/22 3:00,102258,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
102257,CPE12000SG,TLR001021183,6/20/22 3:00,102257,WLTGG-122,1.001E+12,192.168.203.16,4066489,2,10.8,-108.5,-111.7,-101.9,-102.8,15,13.2,20.6,21.6,-10,-10,-9.5,-9.5,-72,,,,,605
102256,CPE12000SG,TLR001052985,6/20/22 3:00,102256,WLTGG-122,1.001E+12,192.168.203.38,1306306,1,-999999,-102.6,-101.8,-99,-102,17.8,17.4,20.5,18.8,-9.1,-9,-9.3,-9.6,-65,,,,,371
102226,CPE12000SG,TLR001048674,6/20/22 3:00,102226,WLTGG-122,1.001E+12,192.168.203.11,4095163,1,-999999,-105.2,-102.4,-103.3,-107.4,14.7,15.2,15,11.7,-9.6,-9.7,-9.5,-10,-72,,,,,195
102227,CPE9000,GMK180819003927,6/20/22 3:00,102227,WLTMS-110,1.001E+12,192.168.203.31,4066479,2,21,-117,-115,,,7,10,,,-10,,,,,,,,,781
102228,CPE12000SG,TLR001021226,6/20/22 3:00,102228,WLTGG-122,1.001E+12,192.168.203.13,,2,,,,,,,,,,,,,,,,,,,605
102229,CPE12000SG,TLR001052293,6/20/22 3:00,102229,WLTGG-122,1.001E+12,192.168.203.40,378358,2,-5.1,-83.1,-81.1,-82.4,-85.6,20.9,22.9,22.7,21.3,-9.2,-9.4,-9.3,-9.2,-52,,,,,488
102230,CPE12000SG,TLR001052427,6/20/22 3:00,102230,WLTGG-122,1.001E+12,192.168.203.42,1670168,2,-999999,-102.4,-102.9,-107.9,-112.3,22.6,21.8,14.7,13.5,-9,-9.3,-9.8,-9.3,-73,,,,,605
102231,CPE12000SG,TLR001024748,6/20/22 3:00,102231,WLTGG-122,1.001E+12,192.168.203.12,656025,2,18.1,-118.2,-110.2,-107.9,-110.5,6.5,15.4,16.8,14.2,-11.3,-9.6,-9.4,-9.9,-78,,,,,605
102245,CPE12000SG,TLR001052912,6/20/22 3:00,102245,WLTGG-122,1.001E+12,192.168.203.29,4066489,3,-999999,-107.3,-99.1,-100,-107.8,12,15.3,12.7,12,-8.8,-8.7,-8.9,-9.1,-71,,,,,488
102246,CPE12000SG,TLR001061822,6/20/22 3:00,102246,WLTGG-122,1.001E+12,192.168.203.36,3484307,2,-999999,-81.5,-80,-81.2,-84.3,19.8,22.3,21.6,19.5,-9.5,-9.5,-9.3,-9.3,-50,,,,,605
102247,CPE12000SG,TLR001052354,6/20/22 3:00,102247,WLTGG-122,1.001E+12,192.168.203.22,4066488,3,7.9,-99.7,-100.5,-98.9,-96.7,8.6,7.1,6.5,14.6,-9.4,-9.3,-9.4,-9.2,-68,,,,,488
102248,CPE12000SG,TLR001052550,6/20/22 3:00,102248,WLTGG-122,1.001E+12,192.168.203.35,4066498,2,23,-108.3,-111.4,-111.8,-109.4,15.3,10.7,9.5,12.6,-9.2,-10.5,-10.2,-10,-79,,,,,488
102244,CPE12000SG,TLR001052247,6/20/22 3:00,102244,WLTGG-122,1.001E+12,192.168.203.28,4095163,2,5.9,-91.5,-89.6,-91.8,-95.1,19.9,20.4,18.5,17.2,-9.3,-9.4,-9.6,-9.6,-59,,,,,195
102243,CPE12000SG,TLR001052312,6/20/22 3:00,102243,WLTGG-122,1.001E+12,192.168.203.24,734483,2,11.9,-117.2,-114.7,-114.4,-114.2,10.6,13,12.6,12.8,-10.4,-9.5,-9.9,-9.8,-84,,,,,605
102274,CPE12000SG,TLR001023697,6/20/22 4:00,102274,WLTGG-122,1.001E+12,192.168.203.10,4070088,2,9.4,-98.7,-96.6,-101,-104,21.2,23.1,17.7,17.5,-9.2,-9.2,-9.3,-9.3,-68,,,,,605
102268,CPE12000SG,TLR001052427,6/20/22 4:00,102268,WLTGG-122,1.001E+12,192.168.203.42,1673768,2,-999999,-102.1,-102.8,-108.6,-111.7,23.2,22.2,14.4,14.2,-9.1,-9.1,-9.7,-9.2,-73,,,,,605
102267,CPE12000SG,TLR001052293,6/20/22 4:00,102267,WLTGG-122,1.001E+12,192.168.203.40,381958,2,-4.1,-82.8,-81.2,-82.6,-85.4,21.2,22.4,22.4,21.2,-9.3,-9.2,-9.2,-9.3,-52,,,,,488
102266,CPE12000SG,TLR001021226,6/20/22 4:00,102266,WLTGG-122,1.001E+12,192.168.203.13,,2,,,,,,,,,,,,,,,,,,,605
102265,CPE9000,GMK180819003927,6/20/22 4:00,102265,WLTMS-110,1.001E+12,192.168.203.31,4070079,2,13,-117,-114,,,6,10,,,-10,,,,,,,,,781
102273,CPE12000SG,TLR001052332,6/20/22 4:00,102273,WLTGG-122,1.001E+12,192.168.203.32,,1,,,,,,,,,,,,,,,,,,,605
102272,CPE12000SG,TLR001023930,6/20/22 4:00,102272,WLTGG-122,1.001E+12,192.168.203.18,4093240,2,6.6,-99,-100.8,-99.4,-101,19,15.2,16.9,19.5,-9.9,-10,-9.5,-9.6,-69,,,,,488
