productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,mean_AvgRsrp,sinr0,sinr1,sinr2,sinr3,mean_AvgSinr,rsrq,rsrq1,rsrq2,rsrq3,mean_AvgRsrq,rssi,rssi0,rssi1,rssi2,rssi3,mean_AvgRssi,distance
CPE12000SG,TLR001062014,9/10/2022 15:00,177169,WLTGG-122,1000000000000.0,192.168.203.39,358740,2.0,-2.1,-88.7,-86.4,-87.0,-87.6,-87.425,18.6,18.4,17.3,19.2,18.375,-9.2,-9.9,-9.9,-9.1,-9.525,-57.0,,,,,-57.0,605.0
CPE12000SG,TLR001052687,9/10/2022 15:00,177144,WLTGG-122,1000000000000.0,192.168.203.34,11217641,1.0,2.9,-94.1,-96.9,-93.0,-93.1,-94.275,22.4,18.4,20.7,23.6,21.275,-9.4,-8.3,-8.4,-9.4,-8.875,-61.0,,,,,-61.0,371.0
CPE12000SG,TLR001062295,9/10/2022 15:00,177147,WLTGG-122,1000000000000.0,192.168.203.26,2870693,3.0,-999999.0,-108.0,-98.3,-97.7,-99.6,-100.9,12.5,17.8,19.0,18.5,16.95,-9.5,-8.9,-9.2,-9.4,-9.25,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001052281,9/10/2022 15:00,177159,WLTGG-122,1000000000000.0,192.168.203.25,680484,1.0,-10.1,-82.3,-79.7,-83.1,-85.7,-82.7,24.5,22.8,20.3,22.0,22.4,-8.8,-9.0,-9.1,-8.7,-8.9,-45.0,,,,,-45.0,371.0
CPE12000SG,TLR001052354,9/10/2022 15:00,177155,WLTGG-122,1000000000000.0,192.168.203.22,2870692,3.0,10.2,-99.5,-96.3,-95.3,-94.0,-96.275,11.8,12.5,13.6,17.9,13.95,-9.4,-9.0,-8.9,-9.2,-9.125,-64.0,,,,,-64.0,605.0
CPE12000SG,TLR001024748,9/10/2022 15:00,177158,WLTGG-122,1000000000000.0,192.168.203.12,332315,2.0,10.4,-109.5,-107.9,-107.0,-110.2,-108.65,14.6,16.2,14.9,12.8,14.625,-9.6,-9.9,-9.3,-9.8,-9.65,-77.0,,,,,-77.0,605.0
CPE12000SG,TLR001024549,9/10/2022 15:00,177172,WLTGG-122,1000000000000.0,192.168.203.19,11223163,1.0,-999999.0,-90.5,-95.3,-93.4,-94.0,-93.3,20.2,17.7,18.7,19.2,18.95,-8.9,-9.1,-9.2,-9.0,-9.05,-62.0,,,,,-62.0,195.0
CPE12000SG,TLR001052247,9/10/2022 15:00,177154,WLTGG-122,1000000000000.0,192.168.203.28,11223164,2.0,2.9,-91.5,-90.4,-93.2,-95.8,-92.725,20.2,20.4,18.7,18.2,19.375,-9.2,-9.9,-9.8,-9.7,-9.65,-58.0,,,,,-58.0,78.0
CPE12000SG,TLR001021226,9/10/2022 15:00,177153,WLTGG-122,1000000000000.0,192.168.203.13,5604105,2.0,17.2,-111.7,-109.0,-110.4,-113.5,-111.15,16.4,17.0,16.6,13.8,15.95,-9.4,-9.8,-9.4,-9.5,-9.525,-79.0,,,,,-79.0,605.0
CPE12300,21140003126,9/10/2022 15:00,177150,CPE12300HG,1000000000000.0,192.168.203.44,1381627,2.0,12.2,-121.1,-124.7,-122.1,-115.6,-120.875,7.1,3.1,5.4,12.1,6.925,-11.1,-12.4,-11.3,-10.2,-11.25,-84.0,-90.1,-92.3,-90.6,-85.0,-88.4,371.0
CPE12000SG,TLR001023730,9/10/2022 15:00,177171,WLTGG-122,1000000000000.0,192.168.203.21,345370,1.0,-999999.0,-108.0,-111.1,-109.2,-112.3,-110.15,13.4,14.0,12.2,11.8,12.85,-9.9,-9.3,-12.5,-13.1,-11.2,-79.0,,,,,-79.0,371.0
CPE12000SG,TLR001052420,9/10/2022 15:00,177148,WLTGG-122,1000000000000.0,192.168.203.23,1032004,1.0,5.9,-97.9,-95.5,-94.8,-98.4,-96.65,23.7,24.3,25.0,25.2,24.55,-8.9,-8.9,-8.8,-8.7,-8.825,-60.0,,,,,-60.0,605.0
CPE12300,21140007371,9/10/2022 15:00,177170,CPE12300XG,1000000000000.0,192.168.203.33,353675,1.0,4.4,-111.4,-109.9,0.0,0.0,-110.65,13.6,11.3,0.0,0.0,12.45,-15.0,-14.4,0.0,0.0,-14.7,-80.0,-78.0,-75.9,0.0,0.0,-77.96666667,488.0
CPE12000SG,TLR001061848,9/10/2022 15:00,177145,WLTGG-122,1000000000000.0,192.168.203.37,10612301,2.0,-999999.0,-83.0,-79.5,-77.0,-78.8,-79.575,17.2,20.3,22.4,19.1,19.75,-12.8,-12.9,-12.9,-13.3,-12.975,-46.0,,,,,-46.0,605.0
CPE12000SG,TLR001052550,9/10/2022 15:00,177164,WLTGG-122,1000000000000.0,192.168.203.35,2405743,2.0,7.7,-107.5,-103.1,-102.4,-104.3,-104.325,17.1,17.7,17.7,17.7,17.55,-12.9,-13.3,-13.2,-12.9,-13.075,-73.0,,,,,-73.0,488.0
CPE12000SG,TLR001052281,9/10/2022 16:00,177196,WLTGG-122,1000000000000.0,192.168.203.25,684084,1.0,-8.1,-83.7,-80.4,-82.9,-85.3,-83.075,24.1,23.2,21.1,22.5,22.725,-8.7,-9.2,-9.2,-8.5,-8.9,-51.0,,,,,-51.0,371.0
CPE12000SG,TLR001052985,9/10/2022 16:00,177198,WLTGG-122,1000000000000.0,192.168.203.38,2783153,1.0,7.8,-108.0,-106.1,-103.0,-106.9,-106.0,17.0,16.9,18.4,16.9,17.3,-9.1,-9.2,-9.4,-9.9,-9.4,-75.0,,,,,-75.0,371.0
CPE12000SG,TLR001024707,9/10/2022 16:00,177199,WLTGG-122,1000000000000.0,192.168.203.17,5742655,1.0,-999999.0,-103.8,-100.2,-101.9,-105.1,-102.75,22.3,24.8,20.1,18.3,21.375,-8.9,-9.0,-9.0,-9.2,-9.025,-72.0,,,,,-72.0,371.0
CPE12000SG,TLR001023697,9/10/2022 16:00,177200,WLTGG-122,1000000000000.0,192.168.203.10,2874292,2.0,7.9,-97.5,-96.4,-97.1,-102.8,-98.45,22.1,24.2,19.4,16.0,20.425,-9.1,-9.3,-9.3,-9.4,-9.275,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001052550,9/10/2022 16:00,177201,WLTGG-122,1000000000000.0,192.168.203.35,2409343,2.0,10.7,-107.3,-102.2,-100.6,-102.4,-103.125,17.3,19.9,20.0,20.0,19.3,-9.5,-10.1,-9.9,-9.4,-9.725,-71.0,,,,,-71.0,488.0
CPE12000SG,TLR001024748,9/10/2022 16:00,177195,WLTGG-122,1000000000000.0,192.168.203.12,335912,2.0,10.2,-115.5,-109.8,-107.4,-109.8,-110.625,8.6,14.4,13.9,13.8,12.675,-10.8,-9.9,-9.4,-9.5,-9.9,-78.0,,,,,-78.0,605.0
CPE12000SG,TLR001048674,9/10/2022 16:00,177203,WLTGG-122,1000000000000.0,192.168.203.11,11226763,1.0,6.5,-106.3,-104.1,-96.7,-99.0,-101.525,11.2,14.0,20.9,20.4,16.625,-9.6,-9.2,-9.1,-9.0,-9.225,-68.0,,,,,-68.0,78.0
CPE12000SG,TLR001061822,9/10/2022 16:00,177204,WLTGG-122,1000000000000.0,192.168.203.36,602157,2.0,-0.2,-82.7,-81.8,-82.8,-84.3,-82.9,19.3,22.5,21.6,19.0,20.6,-9.2,-9.6,-9.5,-9.2,-9.375,-53.0,,,,,-53.0,605.0
CPE12000SG,TLR001052293,9/10/2022 16:00,177205,WLTGG-122,1000000000000.0,192.168.203.40,4856497,2.0,-2.1,-82.4,-79.7,-80.4,-83.6,-81.525,17.2,19.9,20.7,18.9,19.175,-9.0,-9.3,-9.4,-9.1,-9.2,-50.0,,,,,-50.0,605.0
CPE12000SG,TLR001062014,9/10/2022 16:00,177206,WLTGG-122,1000000000000.0,192.168.203.39,362340,2.0,1.9,-88.9,-86.5,-87.0,-87.6,-87.5,18.6,18.5,17.5,19.4,18.5,-9.0,-9.7,-9.7,-8.9,-9.325,-57.0,,,,,-57.0,605.0
CPE12000SG,TLR001052820,9/10/2022 16:00,177202,WLTGG-122,1000000000000.0,192.168.203.46,2871543,2.0,-999999.0,-97.8,-94.3,-91.2,-93.3,-94.15,11.2,15.5,18.1,15.6,15.1,-10.5,-9.9,-9.6,-9.4,-9.85,-62.0,,,,,-62.0,371.0
CPE12000SG,TLR001025025,9/10/2022 16:00,177193,WLTGG-122,1000000000000.0,192.168.203.14,3736602,1.0,-2.1,-91.3,-92.4,-89.4,-93.2,-91.575,26.5,25.6,26.8,24.4,25.825,-8.9,-9.1,-8.9,-9.0,-8.975,-61.0,,,,,-61.0,371.0
CPE9000,GMK180819003927,9/10/2022 16:00,177183,WLTMS-110,1000000000000.0,192.168.203.47,1383407,2.0,8.0,-101.0,-102.0,,,-101.5,16.0,15.0,,,15.5,-9.0,,,,-9.0,,,,,,,605.0
CPE12000SG,TLR001021226,9/10/2022 16:00,177190,WLTGG-122,1000000000000.0,192.168.203.13,5607704,2.0,16.9,-116.5,-116.8,-111.4,-107.5,-113.05,11.0,9.7,14.8,18.6,13.525,-10.0,-9.8,-9.5,-9.1,-9.6,-78.0,,,,,-78.0,605.0
CPE12300,21140003126,9/10/2022 16:00,177187,CPE12300HG,1000000000000.0,192.168.203.44,1385227,2.0,14.9,-121.7,-126.1,-123.4,-116.7,-121.975,5.9,0.9,4.1,10.7,5.4,-15.5,-16.6,-15.4,-15.0,-15.625,-86.0,-86.4,-90.1,-88.1,-81.9,-86.5,371.0
CPE12000SG,TLR001052420,9/10/2022 16:00,177185,WLTGG-122,1000000000000.0,192.168.203.23,1035605,1.0,3.9,-97.8,-96.2,-94.9,-99.0,-96.975,24.2,24.7,24.6,24.8,24.575,-9.0,-9.1,-9.2,-8.9,-9.05,-66.0,,,,,-66.0,605.0
CPE12000SG,TLR001062295,9/10/2022 16:00,177184,WLTGG-122,1000000000000.0,192.168.203.26,2874293,3.0,-999999.0,-98.4,-101.1,-96.5,-101.5,-99.375,20.7,16.2,18.6,16.4,17.975,-9.2,-9.0,-9.3,-9.7,-9.3,-68.0,,,,,-68.0,605.0
CPE12000SG,TLR001061848,9/10/2022 16:00,177182,WLTGG-122,1000000000000.0,192.168.203.37,10615901,2.0,-4.4,-82.7,-79.4,-76.9,-78.3,-79.325,17.6,20.7,23.1,19.8,20.3,-9.1,-9.5,-9.4,-9.1,-9.275,-48.0,,,,,-48.0,605.0
CPE12000SG,TLR001052687,9/10/2022 16:00,177181,WLTGG-122,1000000000000.0,192.168.203.34,11221241,1.0,2.9,-95.4,-97.4,-93.6,-93.3,-94.925,21.2,17.6,21.9,25.6,21.575,-9.3,-8.5,-8.3,-9.3,-8.85,-64.0,,,,,-64.0,371.0
CPE12000SG,TLR001023930,9/10/2022 16:00,177180,WLTGG-122,1000000000000.0,192.168.203.18,11221240,2.0,-999999.0,-97.5,-95.9,-93.9,-99.2,-96.625,19.5,20.8,21.0,17.9,19.8,-9.6,-9.8,-9.5,-9.3,-9.55,-65.0,,,,,-65.0,488.0
CPE12000SG,TLR001052354,9/10/2022 16:00,177192,WLTGG-122,1000000000000.0,192.168.203.22,2874292,3.0,7.7,-98.9,-94.9,-95.0,-94.4,-95.8,17.8,20.8,19.4,24.5,20.625,-9.3,-9.0,-9.0,-9.2,-9.125,-65.0,,,,,-65.0,605.0
CPE12300,21140007371,9/10/2022 16:00,177207,CPE12300XG,1000000000000.0,192.168.203.33,357275,1.0,7.8,-110.4,-108.4,0.0,0.0,-109.4,13.6,10.5,0.0,0.0,12.05,-9.7,-9.6,0.0,0.0,-9.65,-80.0,-81.0,-79.2,0.0,0.0,-80.06666667,488.0
CPE12000SG,TLR001023730,9/10/2022 16:00,177208,WLTGG-122,1000000000000.0,192.168.203.21,348970,1.0,6.2,-111.1,-110.7,-106.9,-109.6,-109.575,15.4,15.2,18.1,16.9,16.4,-9.8,-9.5,-9.6,-9.5,-9.6,-77.0,,,,,-77.0,371.0
CPE12000SG,TLR001052247,9/10/2022 16:00,177191,WLTGG-122,1000000000000.0,192.168.203.28,11226763,2.0,4.9,-91.3,-89.8,-93.2,-96.4,-92.675,20.3,20.7,18.8,17.7,19.375,-9.0,-9.6,-9.6,-9.3,-9.375,-61.0,,,,,-61.0,78.0
CPE12000SG,TLR001024549,9/10/2022 16:00,177209,WLTGG-122,1000000000000.0,192.168.203.19,11226763,1.0,-999999.0,-91.1,-95.2,-93.3,-95.9,-93.875,20.0,18.0,19.1,18.1,18.8,-9.1,-9.1,-9.2,-9.2,-9.15,-62.0,,,,,-62.0,195.0
CPE12000SG,TLR001052420,9/10/2022 17:00,177222,WLTGG-122,1000000000000.0,192.168.203.23,1039204,1.0,-999999.0,-97.1,-96.5,-95.3,-99.2,-97.025,23.9,24.2,24.8,23.9,24.2,-8.6,-8.9,-8.8,-8.7,-8.75,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001052687,9/10/2022 17:00,177218,WLTGG-122,1000000000000.0,192.168.203.34,11224841,1.0,2.9,-95.6,-97.7,-93.7,-93.5,-95.125,21.5,17.3,22.5,25.8,21.775,-9.3,-8.4,-8.3,-9.4,-8.85,-64.0,,,,,-64.0,371.0
CPE12000SG,TLR001061848,9/10/2022 17:00,177219,WLTGG-122,1000000000000.0,192.168.203.37,10619501,2.0,-2.1,-82.7,-79.2,-76.7,-78.6,-79.3,17.6,20.3,23.4,19.6,20.225,-12.8,-12.9,-9.6,-9.1,-11.1,-47.0,,,,,-47.0,605.0
CPE9000,GMK180819003927,9/10/2022 17:00,177220,WLTMS-110,1000000000000.0,192.168.203.47,1387007,2.0,10.0,-100.0,-101.0,,,-100.5,17.0,15.0,,,16.0,-9.0,,,,-9.0,,,,,,,605.0
CPE12000SG,TLR001052281,9/10/2022 17:00,177233,WLTGG-122,1000000000000.0,192.168.203.25,687684,1.0,-8.1,-83.2,-80.3,-83.4,-85.8,-83.175,24.7,23.6,20.9,22.6,22.95,-9.1,-9.3,-9.4,-8.9,-9.175,-51.0,,,,,-51.0,371.0
CPE12000SG,TLR001023930,9/10/2022 17:00,177217,WLTGG-122,1000000000000.0,192.168.203.18,11224840,2.0,8.9,-96.8,-95.0,-93.7,-98.7,-96.05,20.0,21.0,21.8,18.1,20.225,-9.6,-9.8,-9.5,-9.3,-9.55,-65.0,,,,,-65.0,488.0
CPE12300,21140003126,9/10/2022 17:00,177224,CPE12300HG,1000000000000.0,192.168.203.44,1388827,2.0,22.0,-119.4,-127.3,-122.7,-121.1,-122.625,8.9,-0.3,4.9,6.8,5.075,-13.7,-17.0,-14.2,-13.2,-14.525,-88.0,-85.9,-92.0,-88.9,-88.0,-88.56,371.0
CPE12000SG,TLR001052247,9/10/2022 17:00,177228,WLTGG-122,1000000000000.0,192.168.203.28,11230363,2.0,3.7,-91.1,-89.3,-92.8,-96.2,-92.35,20.6,21.5,19.5,18.3,19.975,-8.9,-9.5,-9.5,-9.3,-9.3,-60.0,,,,,-60.0,78.0
CPE12000SG,TLR001052354,9/10/2022 17:00,177229,WLTGG-122,1000000000000.0,192.168.203.22,2877892,3.0,6.6,-98.8,-95.4,-95.0,-94.8,-96.0,18.0,20.7,21.4,25.1,21.3,-9.5,-9.1,-8.8,-9.1,-9.125,-66.0,,,,,-66.0,605.0
CPE12000SG,TLR001021226,9/10/2022 17:00,177234,WLTGG-122,1000000000000.0,192.168.203.13,5611304,2.0,11.9,-114.9,-115.9,-110.0,-113.9,-113.675,13.1,11.0,16.9,13.0,13.5,-9.4,-9.4,-9.0,-9.4,-9.3,-82.0,,,,,-82.0,605.0
CPE12000SG,TLR001062295,9/10/2022 17:00,177221,WLTGG-122,1000000000000.0,192.168.203.26,2877893,3.0,5.8,-97.4,-98.6,-98.1,-103.5,-99.4,22.0,18.6,16.5,14.7,17.95,-9.2,-9.0,-9.4,-9.7,-9.325,-68.0,,,,,-68.0,605.0
CPE12000SG,TLR001061822,9/10/2022 17:00,177241,WLTGG-122,1000000000000.0,192.168.203.36,605757,2.0,1.7,-83.6,-81.9,-82.9,-84.9,-83.325,19.0,22.5,21.4,18.7,20.4,-9.1,-9.5,-9.5,-9.1,-9.3,-52.0,,,,,-52.0,605.0
CPE12000SG,TLR001052293,9/10/2022 17:00,177242,WLTGG-122,1000000000000.0,192.168.203.40,4860096,2.0,-2.5,-82.9,-80.0,-79.9,-83.2,-81.5,19.0,21.9,24.2,21.6,21.675,-9.0,-9.5,-9.3,-9.0,-9.2,-47.0,,,,,-47.0,605.0
CPE12000SG,TLR001024549,9/10/2022 17:00,177246,WLTGG-122,1000000000000.0,192.168.203.19,11230363,1.0,-2.1,-90.8,-94.8,-93.6,-95.2,-93.6,20.2,18.2,18.7,18.8,18.975,-9.7,-9.7,-9.8,-9.5,-9.675,-62.0,,,,,-62.0,195.0
CPE12000SG,TLR001023730,9/10/2022 17:00,177245,WLTGG-122,1000000000000.0,192.168.203.21,352570,1.0,-999999.0,-110.5,-111.0,-109.5,-110.9,-110.475,16.1,14.8,16.1,15.7,15.675,-9.8,-9.7,-9.4,-9.4,-9.575,-80.0,,,,,-80.0,371.0
CPE12000SG,TLR001062014,9/10/2022 17:00,177243,WLTGG-122,1000000000000.0,192.168.203.39,365940,2.0,2.9,-88.9,-86.6,-86.9,-87.8,-87.55,18.7,18.7,17.9,19.6,18.725,-9.1,-9.8,-9.9,-9.0,-9.45,-57.0,,,,,-57.0,605.0
CPE12000SG,TLR001023697,9/10/2022 17:00,177237,WLTGG-122,1000000000000.0,192.168.203.10,2877892,2.0,-999999.0,-97.2,-95.9,-97.0,-102.5,-98.15,22.2,24.4,20.0,16.5,20.775,-9.1,-9.3,-9.5,-9.2,-9.275,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001052550,9/10/2022 17:00,177238,WLTGG-122,1000000000000.0,192.168.203.35,2412943,2.0,7.8,-104.7,-100.2,-101.9,-103.7,-102.625,20.7,21.6,17.7,18.0,19.5,-8.9,-9.8,-10.0,-9.4,-9.525,-71.0,,,,,-71.0,488.0
CPE12000SG,TLR001052820,9/10/2022 17:00,177239,WLTGG-122,1000000000000.0,192.168.203.46,2875143,2.0,-999999.0,-98.7,-95.1,-91.2,-94.2,-94.8,10.9,15.5,18.6,15.6,15.15,-10.7,-9.9,-9.6,-9.5,-9.925,-62.0,,,,,-62.0,371.0
CPE12000SG,TLR001048674,9/10/2022 17:00,177240,WLTGG-122,1000000000000.0,192.168.203.11,11230363,1.0,-999999.0,-105.5,-105.1,-99.6,-101.1,-102.825,11.9,13.3,17.8,18.1,15.275,-9.1,-9.3,-9.4,-9.1,-9.225,-70.0,,,,,-70.0,78.0
CPE12000SG,TLR001025025,9/10/2022 17:00,177230,WLTGG-122,1000000000000.0,192.168.203.14,3740202,1.0,-2.1,-91.9,-93.3,-90.6,-92.7,-92.125,26.6,25.6,26.1,25.2,25.875,-9.5,-9.6,-9.6,-9.6,-9.575,-62.0,,,,,-62.0,371.0
CPE12000SG,TLR001024748,9/10/2022 17:00,177232,WLTGG-122,1000000000000.0,192.168.203.12,339513,2.0,13.8,-115.7,-109.7,-107.0,-109.9,-110.575,8.9,15.0,14.8,13.9,13.15,-10.6,-9.9,-9.4,-9.5,-9.85,-78.0,,,,,-78.0,605.0
CPE12000SG,TLR001024707,9/10/2022 17:00,177236,WLTGG-122,1000000000000.0,192.168.203.17,5746255,1.0,-999999.0,-104.3,-100.4,-103.2,-107.3,-103.8,21.7,23.4,19.0,17.0,20.275,-9.1,-9.2,-9.2,-9.4,-9.225,-71.0,,,,,-71.0,371.0
CPE12300,21140007371,9/10/2022 17:00,177244,CPE12300XG,1000000000000.0,192.168.203.33,360875,1.0,9.7,-109.1,-109.6,0.0,0.0,-109.35,14.7,10.4,0.0,0.0,12.55,-9.8,-9.9,0.0,0.0,-9.85,-80.0,-79.6,-80.0,0.0,0.0,-79.86666667,488.0
CPE12000SG,TLR001052985,9/10/2022 17:00,177235,WLTGG-122,1000000000000.0,192.168.203.38,2786753,1.0,8.4,-110.1,-105.5,-103.6,-106.4,-106.4,15.2,17.7,17.6,17.1,16.9,-9.2,-9.2,-9.5,-9.7,-9.4,-75.0,,,,,-75.0,371.0
CPE12000SG,TLR001023930,9/10/2022 18:00,177254,WLTGG-122,1000000000000.0,192.168.203.18,11228440,2.0,-999999.0,-96.2,-94.6,-94.0,-98.2,-95.75,20.8,21.3,21.0,18.6,20.425,-9.3,-9.7,-9.4,-9.3,-9.425,-65.0,,,,,-65.0,488.0
CPE12000SG,TLR001052687,9/10/2022 18:00,177255,WLTGG-122,1000000000000.0,192.168.203.34,11228441,1.0,2.9,-95.4,-97.8,-93.5,-93.5,-95.05,21.8,17.4,22.4,25.7,21.825,-9.3,-8.4,-8.4,-9.4,-8.875,-64.0,,,,,-64.0,371.0
CPE12000SG,TLR001062014,9/10/2022 18:00,177281,WLTGG-122,1000000000000.0,192.168.203.39,369540,2.0,0.9,-88.1,-86.2,-86.7,-86.9,-86.975,19.0,18.5,18.0,19.8,18.825,-9.0,-10.0,-9.8,-8.8,-9.4,-57.0,,,,,-57.0,605.0
CPE12000SG,TLR001061822,9/10/2022 18:00,177279,WLTGG-122,1000000000000.0,192.168.203.36,609357,2.0,-2.1,-83.0,-82.0,-83.5,-84.9,-83.35,19.4,22.4,20.7,18.9,20.35,-9.1,-9.5,-9.6,-9.1,-9.325,-53.0,,,,,-53.0,605.0
CPE12000SG,TLR001021226,9/10/2022 18:00,177272,WLTGG-122,1000000000000.0,192.168.203.13,5614904,2.0,-999999.0,-109.7,-116.7,-107.8,-114.4,-112.15,16.8,10.5,17.8,12.9,14.5,-9.1,-10.1,-9.0,-9.1,-9.325,-79.0,,,,,-79.0,605.0
CPE12000SG,TLR001024549,9/10/2022 18:00,177284,WLTGG-122,1000000000000.0,192.168.203.19,11233963,1.0,-1.1,-91.7,-95.8,-93.4,-94.6,-93.875,19.1,17.0,18.7,19.1,18.475,-9.2,-9.2,-9.2,-9.0,-9.15,-63.0,,,,,-63.0,195.0
CPE12000SG,TLR001021183,9/10/2022 18:00,177256,WLTGG-122,1000000000000.0,192.168.203.16,564,2.0,-999999.0,-112.9,-104.7,-106.1,-106.7,-107.6,9.9,17.3,16.9,16.6,15.175,-10.5,-9.8,-9.6,-9.4,-9.825,-75.0,,,,,-75.0,605.0
CPE12300,21140003126,9/10/2022 18:00,177262,CPE12300HG,1000000000000.0,192.168.203.44,1392427,2.0,15.9,-119.5,-128.5,-123.0,-121.7,-123.175,8.8,-1.4,4.7,6.3,4.6,-12.9,-16.9,-14.2,-14.1,-14.525,-89.0,-87.3,-92.8,-89.9,-88.6,-89.52,371.0
CPE12000SG,TLR001062295,9/10/2022 18:00,177259,WLTGG-122,1000000000000.0,192.168.203.26,2881493,3.0,-999999.0,-98.6,-98.0,-98.6,-105.5,-100.175,19.2,18.5,17.1,12.3,16.775,-9.3,-9.0,-9.3,-10.0,-9.4,-69.0,,,,,-69.0,605.0
CPE12000SG,TLR001052420,9/10/2022 18:00,177260,WLTGG-122,1000000000000.0,192.168.203.23,1042805,1.0,1.9,-97.0,-96.3,-95.3,-98.8,-96.85,24.0,24.6,24.9,24.4,24.475,-8.8,-8.9,-9.0,-8.8,-8.875,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001061848,9/10/2022 18:00,177265,WLTGG-122,1000000000000.0,192.168.203.37,10623102,2.0,-4.8,-81.9,-79.0,-76.7,-78.1,-78.925,18.0,20.8,23.0,20.0,20.45,-9.1,-9.5,-9.6,-9.1,-9.325,-47.0,,,,,-47.0,605.0
CPE12000SG,TLR001052247,9/10/2022 18:00,177266,WLTGG-122,1000000000000.0,192.168.203.28,11233963,2.0,3.9,-90.9,-89.8,-93.0,-95.4,-92.275,20.7,20.9,19.0,18.2,19.7,-8.8,-9.4,-9.6,-9.3,-9.275,-61.0,,,,,-61.0,78.0
CPE12000SG,TLR001052354,9/10/2022 18:00,177267,WLTGG-122,1000000000000.0,192.168.203.22,2881492,3.0,8.9,-98.8,-95.6,-95.4,-94.4,-96.05,18.1,20.9,21.6,25.2,21.45,-9.6,-9.0,-8.8,-9.1,-9.125,-66.0,,,,,-66.0,605.0
